Anonymous
Collections
Hasse, Johann Adolph
Hassler, Hans Leo
Haydn, Joseph
Haydn, Michael
Hayden, Winslow Lewis
Hays, William Shakespeare
Heinrich, Anthony Philip
Heinichen, Johann David
Heller, Stephen
Hellemans, Thomas
Henderson-Sellers, Brian
Henselt, Adolf von
Herbert, Victor
Hernández Bellido, José Ramón
Herz, Henri
Herzogenberg, Heinrich von
Hewitt, John Hill
Hiller, Ferdinand
Hildegard
Hill, Malcolm
Hindemith, Paul
Hitz, Franz
Hoffmann, Norbert Rudolf
Hoffmeister, Franz Anton
Hofmann, Heinrich
Hofmann, Leopold
Holbrooke, Joseph
Högn, August
Holborne, Anthony
Holst, Gustav
Hollins, Alfred
Holst, Eduard
Holmès, Augusta Mary Anne
Honegger, Arthur
Horneman, Emil
Hovhannisyan, Gor
Huber, Hans
Hubay, Jenő
Hummel, Johann Nepomuk
Hünten, François
Ibert, Jacques
Indy, Vincent d'
Isaac, Heinrich
Ireland, John
Iversen, Niels Johannes Legarth
Jadassohn, Salomon
Jacques, Alain M.
Janequin, Clément
Jaques-Dalcroze, Emile
Jensen, Adolf
Johnson, Charles Leslie
Jommelli, Niccolò
Jongen, Joseph
Joplin, Scott
Josquin Desprez
Juon, Paul
Kalkbrenner, Friedrich Wilhelm
Kalliwoda, Johann Wenzel
Kaldalóns, Sigvaldi
Karg-Elert, Sigfrid
Kan-no, Shigeru
Kaun, Hugo
Kéler, Béla
Kern, Jerome
Kiel, Friedrich
Ketterer, Eugène
Kiallmark, George
Kimberling, Clark
Kirnberger, Johann Philipp
Kjerulf, Halfdan
Kirchner, Theodor
Kleber, Henry
Koechlin, Charles
Knuth, Jürgen
Kontski, Anton de
Kowalewski, Jakub
Kram, Richard
Krebs, Johann Ludwig
Kreutzer, Rodolphe
Kreutzer, Conradin
Krommer, Franz
Kromolicki, Joseph
Küffner, Joseph
Kuhlau, Friedrich
Kullak, Theodor
Kuula, Toivo
Kurpiński, Karol
Lachner, Franz Paul
Lack, Théodore
Lacôme d'Estalenx, Paul
Labrecque, Samuel
Lalande, Michel Richard de
Lake, Mayhew
Lamothe, Georges
Lambert, Edward
Lamart, Octave
Lange, Gustav
Lange-Müller, Peter Erasmus
Lassus, Orlande de
Le Jeune, Claude
Lecocq, Charles
Lefébure-Wély, Louis James Alfred
Lehmann, Liza
Leo, Leonardo
Leybach, Ignace Xavier Joseph
Li, Cheng-Shiun
Lewandowski, Leopold
Levy, Luiz
Liardon, Gaël
Lincoln, Harry J.
Lincke, Paul
Liszt, Franz
Litolff, Henry Charles
Loewe, Carl
Lovas, Imre
Lully, Jean-Baptiste
Lumbye, Hans Christian
Lyadov, Anatoly
Lyapunov, Sergey
Lysenko, Mykola
Macchi, Claudio
MacDowell, Edward
Mackenzie, Alexander Campbell
Mancini, Francesco
Manookian, Jeff
Marcello, Benedetto
Marenzio, Luca
Mareschal, Samuel
Marcoux, Jean-François
Marschner, Heinrich
Martucci, Giuseppe
Martinů, Bohuslav
Martini, Johannes
Marx, Joseph
Massenet, Jules
Massun, Ignacio
Mattos, Fernando
Mayer, Charles
Mayer, Emilie
Maylath, Henry
Mayseder, Joseph
McManus, Stephen
Medtner, Nikolay
Melartin, Erkki
Mekaev, Alexander
Mendelssohn, Felix
Méreaux, Jean-Amédée Lefroid de
Merkel, Gustav Adolf
Mercadante, Saverio
Menkveld, Jan Willem
Mertz, Johann Kaspar
Merula, Tarquinio
Messerschmidt, Hans Jorgen
Métra, Olivier
Meyer, George W.
Meyer-Helmund, Erik
